idade,expectativa_sobrevida_homens,expectativa_sobrevida_mulheres,idade_morte_homens,idade_morte_mulheres,expectativa_sobrevida_homens_semanas,expectativa_sobrevida_mulheres_semanas,semanas_morte_homens,semanas_morte_mulheres
0,73.56124433,80.5206014,73.56124433,80.5206014,3825,4187,3825,4187
1,73.45712248,80.35949014,74.45712248,81.35949014,3820,4179,3872,4231
2,72.51779218,79.41432775,74.51779218,81.41432775,3771,4130,3875,4234
3,71.55741266,78.4487597,74.55741266,81.4487597,3721,4079,3877,4235
4,70.58764442,77.47440886,74.58764442,81.47440886,3671,4029,3879,4237
5,69.61238684,76.49503851,74.61238684,81.49503851,3620,3978,3880,4238
6,68.63351259,75.51241282,74.63351259,81.51241282,3569,3927,3881,4239
7,67.65212266,74.52754261,74.65212266,81.52754261,3518,3875,3882,4239
8,66.6689774,73.54110145,74.6689774,81.54110145,3467,3824,3883,4240
9,65.68469474,72.55360774,74.68469474,81.55360774,3416,3773,3884,4241
10,64.69987155,71.5655253,74.69987155,81.5655253,3364,3721,3884,4241
11,63.71518612,70.5773346,74.71518612,81.5773346,3313,3670,3885,4242
12,62.7315127,69.58959836,74.7315127,81.58959836,3262,3619,3886,4243
13,61.75007406,68.60373817,74.75007406,81.60373817,3211,3567,3887,4243
14,60.77266346,67.62002705,74.77266346,81.62002705,3160,3516,3888,4244
15,59.80198041,66.63782028,74.80198041,81.63782028,3110,3465,3890,4245
16,58.85931012,65.65893538,74.85931012,81.65893538,3061,3414,3893,4246
17,57.93149027,64.68275992,74.93149027,81.68275992,3012,3364,3896,4248
18,57.01657744,63.70860554,75.01657744,81.70860554,2965,3313,3901,4249
19,56.11155798,62.73548975,75.11155798,81.73548975,2918,3262,3906,4250
20,55.21387068,61.76271628,75.21387068,81.76271628,2871,3212,3911,4252
21,54.32323466,60.79019664,75.32323466,81.79019664,2825,3161,3917,4253
22,53.43910645,59.81814069,75.43910645,81.81814069,2779,3111,3923,4255
23,52.55840752,58.84654151,75.55840752,81.84654151,2733,3060,3929,4256
24,51.67745819,57.87545323,75.67745819,81.87545323,2687,3010,3935,4258
25,50.79363418,56.90495655,75.79363418,81.90495655,2641,2959,3941,4259
26,49.90581159,55.93506037,75.90581159,81.93506037,2595,2909,3947,4261
27,49.01433328,54.96585754,76.01433328,81.96585754,2549,2858,3953,4262
28,48.11997242,53.99762444,76.11997242,81.99762444,2502,2808,3958,4264
29,47.22413046,53.03070587,76.22413046,82.03070587,2456,2758,3964,4266
30,46.32788023,52.06537606,76.32788023,82.06537606,2409,2707,3969,4267
31,45.43140497,51.10186733,76.43140497,82.10186733,2362,2657,3974,4269
32,44.53454947,50.140254,76.53454947,82.140254,2316,2607,3980,4271
33,43.63767665,49.18047507,76.63767665,82.18047507,2269,2557,3985,4273
34,42.74117092,48.2223986,76.74117092,82.2223986,2223,2508,3991,4276
35,41.84543287,47.26601394,76.84543287,82.26601394,2176,2458,3996,4278
36,40.95090501,46.31152753,76.95090501,82.31152753,2129,2408,4001,4280
37,40.05801606,45.3592677,77.05801606,82.3592677,2083,2359,4007,4283
38,39.16715228,44.40951753,77.16715228,82.40951753,2037,2309,4013,4285
39,38.27869097,43.46259595,77.27869097,82.46259595,1990,2260,4018,4288
40,37.39305054,42.51883164,77.39305054,82.51883164,1944,2211,4024,4291
41,36.51065386,41.57842039,77.51065386,82.57842039,1899,2162,4031,4294
42,35.63200973,40.64166613,77.63200973,82.64166613,1853,2113,4037,4297
43,34.75772182,39.70911638,77.75772182,82.70911638,1807,2065,4043,4301
44,33.88843361,38.78138907,77.88843361,82.78138907,1762,2017,4050,4305
45,33.02471435,37.8589491,78.02471435,82.8589491,1717,1969,4057,4309
46,32.16697656,36.94212139,78.16697656,82.94212139,1673,1921,4065,4313
47,31.31557611,36.03097643,78.31557611,83.03097643,1628,1874,4072,4318
48,30.47093107,35.12540666,78.47093107,83.12540666,1584,1827,4080,4323
49,29.63344184,34.22518642,78.63344184,83.22518642,1541,1780,4089,4328
50,28.80346091,33.33021389,78.80346091,83.33021389,1498,1733,4098,4333
51,27.98127754,32.44072032,78.98127754,83.44072032,1455,1687,4107,4339
52,27.1671367,31.55698588,79.1671367,83.55698588,1413,1641,4117,4345
53,26.36126863,30.67905127,79.36126863,83.67905127,1371,1595,4127,4351
54,25.56387558,29.80693338,79.56387558,83.80693338,1329,1550,4137,4358
55,24.77513546,28.94075158,79.77513546,83.94075158,1288,1505,4148,4365
56,23.9953792,28.08089119,79.9953792,84.08089119,1248,1460,4160,4372
57,23.2247765,27.22774503,80.2247765,84.22774503,1208,1416,4172,4380
58,22.46317357,26.3815039,80.46317357,84.3815039,1168,1372,4184,4388
59,21.71030964,25.54233854,80.71030964,84.54233854,1129,1328,4197,4396
60,20.96611915,24.71055918,80.96611915,84.71055918,1090,1285,4210,4405
61,20.23085249,23.88660564,81.23085249,84.88660564,1052,1242,4224,4414
62,19.5049882,23.07111342,81.5049882,85.07111342,1014,1200,4238,4424
63,18.78900773,22.26484657,81.78900773,85.26484657,977,1158,4253,4434
64,18.08348999,21.46865937,82.08348999,85.46865937,940,1116,4268,4444
65,17.38902616,20.6833309,82.38902616,85.6833309,904,1076,4284,4456
66,16.70559705,19.90928923,82.70559705,85.90928923,869,1035,4301,4467
67,16.03366267,19.14704999,83.03366267,86.14704999,834,996,4318,4480
68,15.37480702,18.39753802,83.37480702,86.39753802,799,957,4335,4493
69,14.73103513,17.66178377,83.73103513,86.66178377,766,918,4354,4506
70,14.10381757,16.94061939,84.10381757,86.94061939,733,881,4373,4521
71,13.4933772,16.23422247,84.4933772,87.23422247,702,844,4394,4536
72,12.8995547,15.54285005,84.8995547,87.54285005,671,808,4415,4552
73,12.32290776,14.86742103,85.32290776,87.86742103,641,773,4437,4569
74,11.76406961,14.20903246,85.76406961,88.20903246,612,739,4460,4587
75,11.22352609,13.56849487,86.22352609,88.56849487,584,706,4484,4606
76,10.70134008,12.94566083,86.70134008,88.94566083,556,673,4508,4625
77,10.19757294,12.34047205,87.19757294,89.34047205,530,642,4534,4646
78,9.712733296,11.75386451,87.7127333,89.75386451,505,611,4561,4667
79,9.247546883,11.18710624,88.24754688,90.18710624,481,582,4589,4690
80,8.80276751,10.64116104,88.80276751,90.64116104,458,553,4618,4713
